Table Names,State,Parameters,Type,April - Total ((A+B) or (C+D)),May - Total ((A+B) or (C+D)),June - Total ((A+B) or (C+D)),July - Total ((A+B) or (C+D)),August - Total ((A+B) or (C+D)),September - Total ((A+B) or (C+D)),October - Total ((A+B) or (C+D)),November - Total ((A+B) or (C+D)),December - Total ((A+B) or (C+D)),January - Total ((A+B) or (C+D)),February - Total ((A+B) or (C+D)),March - Total ((A+B) or (C+D)),Total - Total ((A+B) or (C+D)),Total - Public (A),Total - Private (B),Total - Urban (C),Total - Rural (D)
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,1,5,4,5,4,4,1,2,4,4,6,40,40,0,0,40
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,1,0,5,0,0,0,0,1,0,0,0,0,7,7,0,0,7
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,11,12,4,4,7,5,6,7,6,9,4,1,76,74,2,1,75
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Vaccine - Measles,1. Balance From Previous Month,2433,777,762,1600,917,719,230,25,0,0,0,0,7463,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Vaccine - Measles,2. Stocks Received,50,50,1200,600,1100,0,4,0,0,0,0,0,3004,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Vaccine - Measles,4. Stock Distributed,1852,65,412,1154,1147,489,209,25,0,0,0,0,5353,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Vaccine - Measles,5. Total Stock,631,762,1550,1046,870,230,25,0,0,0,0,0,5114,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Measles Rubella (MR),1. Balance From Previous Month,6259,5773,2103,4654,1519,9048,7798,14277,22062,20219,16537,13283,123532,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Measles Rubella (MR),2. Stocks Received,1150,0,5127,1807,16643,6800,14550,21950,4950,11350,9600,7800,101727,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Measles Rubella (MR),3. Unusable Stock,0,0,0,820,0,0,0,2,0,0,0,0,822,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Measles Rubella (MR),4. Stock Distributed,1636,3670,2526,4172,9114,8050,8071,14165,6793,15032,13085,14454,100768,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Meghalaya,Measles Rubella (MR),5. Total Stock,5773,2103,4704,1469,9048,7798,14277,22062,20219,16537,13052,6543,123585,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1318,1413,1414,1544,1627,1394,1499,1585,1502,1533,1676,1433,17938,17038,900,5853,12085
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation (9-11months) - Measles 1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,11,2,10,7,14,7,14,37,119,122,77,59,479,474,5,2,477
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1458,1498,1511,1470,1615,1368,1292,1428,1458,1378,1643,1364,17483,16640,843,5793,11690
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,9,8,4,9,5,4,3,5,22,19,6,0,94,94,0,0,94
2019-2020.xlsm/hmis-report-2019-20,Mizoram,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,0,0,0,6,0,0,3,2,0,0,0,0,11,11,0,0,11
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Childhood Diseases - Pneumonia,TOTAL,100,72,162,134,143,100,149,157,148,78,123,65,1431,1184,247,30,1401
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Childhood Diseases - Asthma,TOTAL,7,6,11,4,6,4,5,15,0,21,3,16,98,64,34,0,98
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Childhood Diseases - Measles,TOTAL,6,19,23,16,12,7,10,6,15,6,12,9,141,138,3,7,134
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Childhood Diseases - Diarrhoea,TOTAL,964,998,1121,966,918,842,674,635,545,846,981,1087,10577,10060,517,641,9936
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,367,249,366,177,274,247,89,83,142,194,206,222,2616,2210,406,93,2523
2019-2020.xlsm/hmis-report-2019-20,Mizoram,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,251,254,365,360,375,327,399,299,398,491,315,277,4111,3412,699,157,3954
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,4,7,8,1,1,3,4,3,2,14,15,2,64,61,3,4,60
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,1,0,0,2,0,0,0,0,1,0,0,4,3,1,0,4
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,2,2,1,2,1,1,2,0,2,1,0,0,14,14,0,1,13
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,3
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,3,1,2,1,0,0,2,0,0,0,1,10,10,0,2,8
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Vaccine - Measles,1. Balance From Previous Month,500,0,0,0,0,0,0,0,0,0,0,0,500,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Vaccine - Measles,2. Stocks Received,500,0,0,0,0,0,0,0,0,0,0,0,500,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Vaccine - Measles,4. Stock Distributed,500,0,0,0,0,0,0,0,0,0,0,0,500,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Vaccine - Measles,5. Total Stock,500,0,0,0,0,0,0,0,0,0,0,0,500,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Measles Rubella (MR),1. Balance From Previous Month,8472,8862,9081,9968,8402,7888,9825,7333,7539,8869,6922,8133,101294,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Measles Rubella (MR),2. Stocks Received,4550,4500,5500,4600,2500,6550,3100,6500,6800,5250,9100,3100,62050,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Measles Rubella (MR),4. Stock Distributed,4050,4272,4501,4796,4384,5583,5642,6294,5570,7197,6369,4743,63401,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Mizoram,Measles Rubella (MR),5. Total Stock,8972,9081,10080,9772,6518,8855,7283,7539,9139,6922,9653,6490,100304,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1236,1395,1539,1762,1592,1775,1609,1492,1350,1686,1163,1234,17833,16330,1503,2631,15202
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation (9-11months) - Measles 1st dose,TOTAL,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,110,154,113,246,189,309,297,230,241,291,223,195,2598,2120,478,606,1992
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1198,1243,1255,1478,1277,1360,1232,1086,1126,1520,1255,1141,15171,13894,1277,2529,12642
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,3,1,0,0,0,0,0,0,1,0,0,0,5,5,0,1,4
2019-2020.xlsm/hmis-report-2019-20,Nagaland,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,0,0,0,0,0,0,2,18,23,41,43,26,153,0,153,153,0
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Childhood Diseases - Pneumonia,TOTAL,41,57,44,26,37,39,51,32,51,31,70,33,512,410,102,185,327
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Childhood Diseases - Asthma,TOTAL,7,7,3,3,1,3,4,3,1,4,6,4,46,40,6,8,38
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Childhood Diseases - Measles,TOTAL,1,6,3,1,6,3,0,0,0,0,1,4,25,24,1,1,24
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Childhood Diseases - Diarrhoea,TOTAL,433,408,489,441,511,352,347,292,247,332,612,295,4759,3991,768,847,3912
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,45,34,63,44,77,20,20,15,24,44,51,35,472,290,182,141,331
2019-2020.xlsm/hmis-report-2019-20,Nagaland,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,206,127,166,165,200,160,140,121,123,75,94,98,1675,1200,475,467,1208
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,2,1,1,3,1,3,0,4,3,1,1,0,20,9,11,11,9
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,1,2,2,1,0,0,0,0,0,0,0,0,6,3,3,3,3
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,1,2,2,3,2,1,0,1,1,1,0,14,11,3,3,11
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Vaccine - Measles,1. Balance From Previous Month,0,0,0,0,0,0,150,170,1070,780,300,1100,3570,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Vaccine - Measles,2. Stocks Received,0,0,0,0,0,780,800,120,1020,0,1020,0,3740,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Vaccine - Measles,4. Stock Distributed,0,0,0,0,0,630,780,250,620,480,220,390,3370,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Vaccine - Measles,5. Total Stock,0,0,0,0,0,150,170,40,1470,300,1100,710,3940,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Measles Rubella (MR),1. Balance From Previous Month,11740,9720,7430,7400,6440,3210,3670,3580,5130,4820,2850,2860,68850,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Measles Rubella (MR),2. Stocks Received,1310,2130,5470,7570,2310,9230,7970,6300,6000,5860,5590,2700,62440,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,130,0,90,0,0,0,220,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Measles Rubella (MR),4. Stock Distributed,3340,4420,5500,8530,4410,8240,7350,4750,6220,7830,5580,4060,70230,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Nagaland,Measles Rubella (MR),5. Total Stock,9720,7430,7400,6440,4760,4200,4160,5130,4820,2850,2860,1500,61270,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,49849,49877,58917,58304,64285,55404,53733,50026,52666,63014,63687,55842,675604,670533,5071,50690,624914
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation (9-11months) - Measles 1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,422,421,653,994,589,425,639,442,533,682,798,301,6899,6834,65,724,6175
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,51049,49228,56547,55855,59077,47172,45995,44240,51617,57656,61538,55948,635922,631936,3986,47321,588601
2019-2020.xlsm/hmis-report-2019-20,Odisha,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Odisha,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Odisha,Childhood Diseases - Pneumonia,TOTAL,1168,1123,1067,1195,1608,1689,2399,2567,1937,2099,2128,1645,20625,20059,566,539,20086
2019-2020.xlsm/hmis-report-2019-20,Odisha,Childhood Diseases - Asthma,TOTAL,1028,720,875,891,1055,1028,1123,1322,1239,1184,1302,1104,12871,11980,891,813,12058
2019-2020.xlsm/hmis-report-2019-20,Odisha,Childhood Diseases - Measles,TOTAL,13,4,12,15,13,9,13,21,33,21,30,25,209,206,3,19,190
2019-2020.xlsm/hmis-report-2019-20,Odisha,Childhood Diseases - Diarrhoea,TOTAL,13907,14272,16155,20010,17596,14397,13193,11521,11780,13606,15093,15823,177353,175942,1411,4614,172739
2019-2020.xlsm/hmis-report-2019-20,Odisha,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,2167,1868,2103,2706,2320,1828,1378,1328,2393,2460,2673,2336,25560,24771,789,781,24779
2019-2020.xlsm/hmis-report-2019-20,Odisha,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,5620,4667,4481,5817,4321,5558,6301,5298,6147,5714,7160,7047,68131,65426,2705,584,67547
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,44,51,48,62,76,114,117,127,100,96,93,73,1001,997,4,8,993
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,1,0,2,0,2,5,0,2,0,3,1,4,20,20,0,0,20
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,16,14,12,16,14,16,26,27,17,11,20,13,202,202,0,0,202
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,5,3,1,1,1,5,1,1,1,0,1,0,20,20,0,0,20
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
2019-2020.xlsm/hmis-report-2019-20,Odisha,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,19,24,22,22,16,32,7,19,17,4,18,10,210,209,1,2,208
2019-2020.xlsm/hmis-report-2019-20,Odisha,Vaccine - Measles,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Vaccine - Measles,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Vaccine - Measles,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Vaccine - Measles,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Measles Rubella (MR),1. Balance From Previous Month,74080,70230,34860,107160,134350,112120,107830,77020,219820,110050,153190,61880,1262590,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Measles Rubella (MR),2. Stocks Received,371950,201000,209700,282720,325550,97490,167860,354700,168500,221460,135700,200700,2737330,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,4210,0,0,0,0,0,0,4210,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Measles Rubella (MR),4. Stock Distributed,281110,224840,162950,255230,344140,111220,198670,211900,278270,179740,227390,229810,2705270,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Odisha,Measles Rubella (MR),5. Total Stock,164920,46390,81610,134650,115760,96380,77020,219820,110050,151770,61500,32770,1292640,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1088,1422,1287,1402,1555,1294,1210,1040,918,1277,1229,1141,14863,13863,1000,9214,5649
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation (9-11months) - Measles 1st dose,TOTAL,9,0,6,7,6,8,20,3,6,7,7,7,86,81,5,20,66
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,75,67,79,49,52,56,57,54,56,78,75,54,752,745,7,651,101
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,7,0,0,3,0,0,0,10,7,3,3,7
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1132,1331,1062,1085,1053,949,1150,1223,1156,1380,1356,1081,13958,13100,858,8518,5440
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,9,17,2,9,0,41,16,0,53,5,0,0,152,149,3,106,46
2019-2020.xlsm/hmis-report-2019-20,Puducherry,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,22,2,25,14,0,33,31,0,6,10,19,10,172,164,8,110,62
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Childhood Diseases - Pneumonia,TOTAL,122,108,114,115,111,96,150,155,154,145,70,95,1435,1432,3,1107,328
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Childhood Diseases - Asthma,TOTAL,154,169,237,306,269,238,304,320,259,215,249,119,2839,2823,16,786,2053
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Childhood Diseases - Measles,TOTAL,0,0,2,2,3,2,4,0,0,2,2,1,18,18,0,2,16
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Childhood Diseases - Diarrhoea,TOTAL,664,994,824,1023,1178,795,815,807,794,791,760,759,10204,10157,47,2686,7518
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,73,118,194,124,210,130,84,74,94,89,118,104,1412,1384,28,526,886
2019-2020.xlsm/hmis-report-2019-20,Puducherry,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,578,675,806,1143,1605,941,1372,896,653,459,285,339,9752,9690,62,3387,6365
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,1,4,2,1,0,3,4,0,0,0,0,1,16,16,0,12,4
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,1,0,0,1,0,2,2,0,0,0,0,6,6,0,4,2
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,1,2,1,0,1,0,0,0,0,0,0,5,5,0,3,2
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Vaccine - Measles,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Vaccine - Measles,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Vaccine - Measles,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Vaccine - Measles,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Measles Rubella (MR),1. Balance From Previous Month,8921,4628,6781,13600,8809,12744,9713,6121,7207,4523,13004,9107,105158,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Measles Rubella (MR),2. Stocks Received,100,6150,10110,330,6290,200,360,5250,0,12150,100,6000,47040,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Measles Rubella (MR),4. Stock Distributed,4403,3997,3291,5121,2355,3223,3949,4164,2684,3669,4167,3221,44244,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Puducherry,Measles Rubella (MR),5. Total Stock,4618,6781,13600,8809,12744,9721,6124,7207,4523,13004,8988,11886,108005,NA,NA,NA,NA
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,29756,36323,36309,39313,36571,35795,36378,35672,29036,28840,29200,21468,394661,390296,4365,103728,290933
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation (9-11months) - Measles 1st dose,TOTAL,0,0,1,10,27,0,0,0,14,0,0,44,96,93,3,56,40
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,34,66,252,248,161,143,116,326,241,293,281,211,2372,2368,4,1194,1178
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,19,14,0,0,0,33,33,0,33,0
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,34326,37254,32927,33773,28973,27394,26974,29102,27328,31182,36664,26409,372306,369251,3055,97405,274901
2019-2020.xlsm/hmis-report-2019-20,Punjab,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,52,38,39,72,63,41,61,115,102,31,91,81,786,781,5,574,212
2019-2020.xlsm/hmis-report-2019-20,Punjab,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,65,28,31,31,15,30,46,32,27,18,29,11,363,181,182,290,73
2019-2020.xlsm/hmis-report-2019-20,Punjab,Childhood Diseases - Pneumonia,TOTAL,631,614,428,495,486,543,863,833,897,811,765,594,7960,7960,0,1786,6174
2019-2020.xlsm/hmis-report-2019-20,Punjab,Childhood Diseases - Asthma,TOTAL,936,606,450,465,502,630,789,872,748,1174,677,344,8193,8193,0,2642,5551
2019-2020.xlsm/hmis-report-2019-20,Punjab,Childhood Diseases - Measles,TOTAL,11,4,2,1,3,4,6,4,8,2,3,5,53,53,0,15,38
2019-2020.xlsm/hmis-report-2019-20,Punjab,Childhood Diseases - Diarrhoea,TOTAL,3466,5004,4867,7081,4795,3638,3101,2461,2159,3070,3132,2259,45033,45033,0,15077,29956
2019-2020.xlsm/hmis-report-2019-20,Punjab,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,508,815,895,1257,855,532,627,574,304,299,391,279,7336,7336,0,2007,5329
